,securityId,name,isin,issuerCode,sedol,cusip,cusip9,fsymId,activeFlag,factsetEntityId,fsUltimateParentEntityId,fsParentEntityId,fsParentParentEntityId,factsetUniverseType,factsetEntityName,factsetCompanyId,factsetCompanyCurrency
46,66930514,COMMSCOPE LLC 144A W/O RTS 4.75 USD 09/01/2029,US203372AX50,COMM,BLDBLL,203372AX,203372AX5,XL39MG-S,True,001MFP-E,00D493-E,00D493-E,,FI,CommScope,WX2GPZ-R,USD
47,66799946,XEROX HOLDINGS CORP 144A W/O RTS 5.5 USD 08/15/2028,US98421MAB28,XRX,BMDZDZ,98421MAB,98421MAB2,VXKQK1-S,True,0KQSGV-E,0KQSGV-E,,,FI,Xerox Holdings,H679XT-R,USD
48,67918522,SUMMIT MIDSTREAM HOLDING 144A W/O RTS 8.625 USD 10/31/2029,US86614JAA34,SUMMPL,BRC175,86614JAA,86614JAA3,X2CBQC-S,True,0CSDS1-E,0ZKP8X-E,0CQHQC-E,0ZKP8X-E,FI,Summit Midstream Holdings,DHD5TM-R,USD
49,67786416,HESS MIDSTREAM OPERATION 144A W/O RTS 6.5 USD 06/01/2029,US428102AG28,HESM,BSQLDL,428102AG,428102AG2,M1XVT7-S,True,0DXDP4-E,0LHT98-E,0LHT98-E,,FI,Hess Midstream Operations,KM84B2-R,USD
50,68264620,BRUNDAGE-BONE CONCRETE 144A W/O RTS 7.5 USD 02/01/2032,US66981QAB23,BBCP,BTGTSP,66981QAB,66981QAB2,RPN918-S,True,0L23R4-E,0KDHKL-E,0KDHKL-E,,FI,Brundage-Bone Concrete,K3BRG5-R,USD
51,66799931,EMERGENT BIOSOLUTIONS 144A W/O RTS 3.875 USD 08/15/2028,US29089QAC96,EBS,BMDNMS,29089QAC,29089QAC9,W7SHQB-S,True,0643X2-E,0643X2-E,,,FI,Emergent BioSolutions,QJL7Y4-R,USD
52,68171995,SABRE GLBL INC 144A W/O RTS 10.75 USD 11/15/2029,US78573NAL64,SABHLD,BTDN8D,78573NAL,78573NAL6,HHCGC2-S,True,0DRBZ5-E,09LDT7-E,0019QT-E,09LDT7-E,FI,Sabre GLBL,BCMFYS-R,USD
53,67409098,BRANDYWINE OPER PARTNERS 8.875 USD 04/12/2029,US105340AS20,BDN,BQBC9X,105340AS,105340AS2,FM9PCM-S,True,0023FB-E,000D0Q-E,000D0Q-E,,FI,Brandywine Operating,L0TLL1-R,USD
54,67409099,RAKUTEN GROUP INC 144A W/O RTS 9.75 USD 04/15/2029,US75102WAK45,RAKUTN,BQBBBT9,75102WAK,75102WAK4,HYZBPP-S,True,05HXHH-E,05HXHH-E,,,FI,Rakuten Group,TTK7NN-R,JPY
55,67398358,ESAB CORP 144A W/O RTS 6.25 USD 04/15/2029,US29605JAA43,ESAB,BLC88V,29605JAA,29605JAA4,CWJBGZ-S,True,05RB9V-E,05RB9V-E,,,FI,ESAB,N3FSJD-R,USD
56,67230419,BRINKER INTERNATIONAL IN 144A W/O RTS 8.25 USD 07/15/2030,US109641AK67,EAT,BL6JHS,109641AK,109641AK6,D5RGDM-S,True,000D1P-E,000D1P-E,,,FI,Brinker International,VPSN43-R,USD
57,67085602,ALLEGIANT TRAVEL CO 144A W/O RTS 7.25 USD 08/15/2027,US01748XAD49,ALGT,BM8WZQ,01748XAD,01748XAD4,RTWZK3-S,True,0088V7-E,0088V7-E,,,FI,Allegiant Travel,V77ZM5-R,USD
58,66800422,DAVITA INC 144A W/O RTS 3.75 USD 02/15/2031,US23918KAT51,DVA,BMFBJQ,23918KAT,23918KAT5,FK4M6B-S,True,0015RG-E,0015RG-E,,,FI,DaVita,FQYW7Q-R,USD
59,67396845,CRESCENT ENERGY FINANCE 144A W/O RTS 7.625 USD 04/01/2032,US45344LAD55,CRGYFN,BQ9D88,45344LAD,45344LAD5,JX3J89-S,True,0NPKZJ-E,0PP7K5-E,0Q0F99-E,0PP7K5-E,FI,Crescent Energy Finance,RNQNZT-R,USD
60,67373294,RAKUTEN GROUP INC 144A W/O RTS 11.25 USD 02/15/2027,US75102WAG33,RAKUTN,BQXL2P0,75102WAG,75102WAG3,D86VQY-S,True,05HXHH-E,05HXHH-E,,,FI,Rakuten Group,TTK7NN-R,JPY
61,68310777,PENNYMAC FIN SVCS INC 144A W/O RTS 6.875 USD 02/15/2033,US70932MAF41,PFSI,,70932MAF,70932MAF4,X8058K-S,True,0JVC61-E,0JVC61-E,,,FI,PennyMac Financial Svcs,D5T7M2-R,USD
62,67396847,LANDSEA HOMES CORP 144A W/O RTS 8.875 USD 04/01/2029,US51509PAA12,LSEA,BNK9GQ,51509PAA,51509PAA1,MJVRMM-S,True,0N8P3C-E,0N8P3C-E,,,FI,Landsea Homes,J7CMSH-R,USD
63,66828559,ALLISON TRANSMISSION INC 144A W/O RTS 3.75 USD 01/30/2031,US019736AG29,ALSN,BMX50K,019736AG,019736AG2,N9Q8ZF-S,True,05TKPQ-E,009L9L-E,009L9L-E,,FI,Allison Transmission,D4VZNG-R,USD
64,66912011,MIDCAP FINANCIAL 144A W/O RTS 5.625 USD 01/15/2030,US59590AAA79,MIDCAP,BMBSMQ,59590AAA,59590AAA7,RXQ05F-S,True,0NR80G-E,0NT7B4-E,0G7RYN-E,00GFM6-E,FI,MidCap Financial Issuer T,VSC82Y-R,USD
65,37003981,CRANE HOLDINGS CO 4.2 USD 03/15/2048,US224399AT28,CXT,BDCXXQ,224399AT,224399AT2,F8FFPK-S,True,0RGX8P-E,0RGX8P-E,,,FI,Crane NXT,D8DLQB-R,USD
66,43959908,CLEAN HARBORS INC 144A W/O RTS 4.875 USD 07/15/2027,US184496AN71,CLH,BJR6WN,184496AN,184496AN7,H0VXTY-S,True,000DTF-E,000DTF-E,,,FI,Clean Harbors,RS1SC9-R,USD
67,66861816,COEUR MINING INC 144A W/O RTS 5.125 USD 02/15/2029,US192108BC19,CDE,BMDJYJ,192108BC,192108BC1,L96PQ6-S,True,000DX5-E,000DX5-E,,,FI,Coeur Mining,L0NQ8G-R,USD
68,67339525,NEXTERA ENERGY OPERATING 144A W/O RTS 7.25 USD 01/15/2029,US65342QAM42,XIFR,BS4CSC,65342QAM,65342QAM4,MLTY4S-S,True,0DRZS8-E,0DQ4HV-E,0DQ4HV-E,,FI,NextEra Energy Operating,SDD54F-R,USD
69,67317001,K HOVNANIAN ENTERPRISES 144A W/O RTS 11.75 USD 09/30/2029,US48251UAM09,HOV,BMF9QQ,48251UAM,48251UAM0,GZ19DC-S,True,07NVSC-E,000LSZ-E,000LSZ-E,,FI,K Hovnanian Enterprises,FPP8QK-R,USD
70,66882795,DYCOM INDUSTRIES INC 144A W/O RTS 4.5 USD 04/15/2029,US267475AD30,DY,BNBX03,267475AD,267475AD3,XQ18F2-S,True,000HV7-E,000HV7-E,,,FI,Dycom Industries,WC77JQ-R,USD
71,43909508,HARSCO CORP 144A W/O RTS 5.75 USD 07/31/2027,US415864AM90,NVRI,BKDRY4,415864AM,415864AM9,Q1VK4T-S,True,000LHL-E,000LHL-E,,,FI,Enviri,V3M7LC-R,USD
72,68311308,C&W SENIOR FINANCE LTD 144A W/O RTS 9 USD 01/15/2033,US12665MAA09,CWCFIN,,12665MAA,12665MAA0,QB4MZP-S,True,0L23X3-E,0HMXJG-E,0HMXJG-E,,FI,C&W Senior Finance,CYGKRS-R,USD
73,67364643,DIRECTV FINANCING LLC 144A W/O RTS 8.875 USD 02/01/2030,US25461LAB80,DTV,BPX4WJ,25461LAB,25461LAB8,D881WY-S,True,0P1NDK-E,069J8N-E,0P2QZQ-E,069J8N-E,FI,DirecTV Financing,VLHKF9-R,USD
74,68055855,STARWOOD PROPERTY TRUST 144A W/O RTS 6 USD 04/15/2030,US85571BBC81,STWD,BRSF3N,85571BBC,85571BBC8,TP3WZ4-S,True,00C249-E,00C249-E,,,FI,Starwood Property Trust,PRKZKS-R,USD
75,66993883,CIENA CORP 144A W/O RTS 4 USD 01/31/2030,US171779AL52,CIEN,BPCQGC,171779AL,171779AL5,XK8KKB-S,True,001FR9-E,001FR9-E,,,FI,Ciena,V4RQ7N-R,USD
76,66792669,TAYLOR MORRISON COMM 144A W/O RTS 5.125 USD 08/01/2030,US87724RAJ14,TMHC,BMW1DB,87724RAJ,87724RAJ1,BHQ19J-S,True,0CGSN0-E,00F7B1-E,0BN492-E,00F7B1-E,FI,Taylor Morrison Communiti,G9LVM6-R,USD
77,42696620,BAUSCH HEALTH COS INC 144A W/O RTS 5.75 USD 08/15/2027,US071734AC18,BHCCN,BHTG9P,071734AC,071734AC1,LQ63TH-S,True,09TZTP-E,09TZTP-E,,,FI,Bausch Health,W103Q3-R,CAD
78,66956503,FRONTIER COMMUNICATIONS 144A W/O RTS 6 USD 01/15/2030,US35908MAB63,FYBR,BMTVRK,35908MAB,35908MAB6,V7Y2LR-S,True,0NR4DY-E,0NSRPW-E,0NSRPW-E,,FI,Frontier Communications,W2Z9NS-R,USD
79,67380521,TRANSDIGM INC 144A W/O RTS 6.375 USD 03/01/2029,US893647BU00,TDG,BNM6H9,893647BU,893647BU0,N81MK5-S,True,002BG0-E,067V99-E,067V99-E,,FI,TransDigm Inc,Q8G78M-R,USD
80,67809592,CALIFORNIA RESOURCES CRP 144A W/O RTS 8.25 USD 06/15/2029,US13057QAK31,CRC,BS880Y,13057QAK,13057QAK3,JLSJ77-S,True,00G4XC-E,00G4XC-E,,,FI,California Resources,SR1VGD-R,USD
81,67117367,ENERFLEX LTD 144A W/O RTS 9 USD 10/15/2027,US29269RAA32,EFXCN,BQ7WFR2,29269RAA,29269RAA3,D2D2P0-S,True,0BPS9L-E,0BPS9L-E,,,FI,Enerflex,GVCLVY-R,CAD
82,68295515,MPT OPER PARTNERSP/FINL 144A W/O RTS 8.5 USD 02/15/2032,US55342UAQ76,MPW,,55342UAQ,55342UAQ7,GWGG5L-S,True,06NCTP-E,005RHW-E,005RHW-E,,FI,MPT Operating Partnership,BL85VC-R,USD
83,67870018,HERTZ CORP/THE 144A W/O RTS 12.625 USD 07/15/2029,US428040DC08,HTZ,BS84LN,428040DC,428040DC0,KVVDNM-S,True,000LNK-E,075ZB2-E,0GD5TK-E,0FZ6XP-E,FI,The Hertz,,
84,67330381,AMS-OSRAM AG 144A W/O RTS 12.25 USD 03/30/2029,US03217CAB28,AMSSW,BLFBVZ6,03217CAB,03217CAB2,J4RMLT-S,True,05ZTWT-E,05ZTWT-E,,,FI,ams-OSRAM,C5K9GL-R,CHF
85,66868403,TWILIO INC 3.625 USD 03/15/2029,US90138FAC68,TWLO,BMWG1Q,90138FAC,90138FAC6,KTP7LG-S,True,00BJJ2-E,00BJJ2-E,,,FI,Twilio,QWG0VT-R,USD
86,66829484,INTERFACE INC 144A W/O RTS 5.5 USD 12/01/2028,US458665AS53,TILE,BM8RXG,458665AS,458665AS5,B8V5Q3-S,True,000N0V-E,000N0V-E,,,FI,Interface,WNFB88-R,USD
87,67973459,ARCHROCK PARTNERS LP/FIN 144A W/O RTS 6.625 USD 09/01/2032,US03959KAD28,APLP,BMYPS3,03959KAD,03959KAD2,QKHJJG-S,True,06WGZ3-E,0094JK-E,0094JK-E,,FI,Archrock Partners,WZVR2S-R,USD
88,67340636,ENOVA INTERNATIONAL INC 144A W/O RTS 11.25 USD 12/15/2028,US29357KAH68,ENVA,BSBH2Z,29357KAH,29357KAH6,W4XCTS-S,True,00DFJY-E,00DFJY-E,,,FI,Enova International,SB7XP4-R,USD
89,67115359,BAUSCH HEALTH COS INC 144A W/O RTS 11 USD 09/30/2028,US071734AQ04,BHCCN,BNBTNV8,071734AQ,071734AQ0,C763YW-S,True,09TZTP-E,09TZTP-E,,,FI,Bausch Health,W103Q3-R,CAD
90,66861721,GO DADDY OPCO/FINCO 144A W/O RTS 3.5 USD 03/01/2029,US38016LAC90,GDDY,BL6LVP,38016LAC,38016LAC9,RKQ5FV-S,True,0D22LJ-E,00G546-E,00DNJQ-E,00G546-E,FI,Go Daddy Operating,W2TCHD-R,USD
91,66831517,NRG ENERGY INC 144A W/O RTS 3.375 USD 02/15/2029,US629377CQ33,NRG,BNM51Z,629377CQ,629377CQ3,KX0SP8-S,True,0013YQ-E,0013YQ-E,,,FI,NRG Energy,M3T4YS-R,USD
